iter	Passed	Remaining
364	74285	47827
365	74481	47619
366	74678	47411
367	74872	47202
368	75083	47003
369	75305	46811
370	75530	46621
371	75752	46428
372	76005	46255
373	76211	46053
374	76400	45840
375	76600	45634
376	76793	45424
377	76983	45212
378	77127	44974
379	77333	44772
380	77490	44541
381	77628	44301
382	77820	44091
383	78022	43887
384	78215	43678
385	78407	43469
386	78594	43257
387	78780	43045
388	78972	42835
389	79168	42629
390	79379	42430
391	79592	42232
392	79808	42036
393	80019	41837
394	80248	41647
395	80479	41459
396	80779	41305
397	81026	41124
398	81236	40923
399	81446	40723
400	81667	40528
401	81907	40342
402	82137	40151
403	82338	39946
404	82543	39743
405	82746	39539
406	82939	39330
407	83114	39112
408	83295	38898
409	83488	38689
410	83678	38479
411	83860	38266
412	84038	38051
413	84190	37824
414	84367	37609
415	84546	37395
416	84726	37182
417	84910	36970
418	85056	36742
419	85258	36539
420	85468	36339
421	85689	36143
422	85892	35940
423	86087	35734
424	86299	35535
425	86500	35331
426	86695	35124
427	86910	34926
428	87130	34730
429	87329	34525
430	87539	34325
431	87737	34120
432	87945	33918
433	88140	33712
434	88323	33502
435	88506	33291
436	88690	33081
437	88869	32869
438	89052	32659
439	89260	32458
440	89458	32253
441	89648	32046
442	89853	31844
443	90068	31645
444	90262	31439
445	90445	31229
446	90640	31024
447	90839	30820
448	91052	30621
449	91261	30420
450	91461	30216
451	91671	30016
452	91856	29807
453	92026	29594
454	92207	29384
455	92390	29175
456	92611	28979
457	92811	28775
458	92968	28558
459	93180	28359
460	93384	28157
461	93590	27955
462	93778	27748
463	93949	27536
464	94133	27329
465	94305	27117
466	94478	26907
467	94675	26703
468	94872	26499
469	95063	26294
470	95250	26087
471	95432	25879
472	95612	25671
473	95789	25463
474	95998	25262
475	96221	25066
476	96442	24868
477	96638	24665
478	96825	24458
479	97014	24253
480	97221	24052
481	97420	23849
482	97633	23650
483	97859	23453
484	98064	23252
485	98265	23049
486	98470	22848
487	98686	22649
488	98907	22451
489	99151	22258
490	99380	22062
491	99606	21864
492	99828	21666
493	100031	21464
494	100245	21264
495	100470	21066
496	100707	20870
497	100947	20676
498	101184	20480
499	101410	20282
500	101605	20077
501	101783	19870
502	101984	19667
503	102218	19470
504	102490	19280
505	102723	19083
506	102923	18879
507	103124	18676
508	103311	18470
509	103492	18263
510	103690	18059
511	103912	17859
512	104154	17663
513	104328	17455
514	104525	17251
515	104701	17044
516	104904	16841
517	105110	16639
518	105296	16433
519	105470	16226
520	105649	16019
521	105815	15811
522	105999	15606
523	106194	15402
524	106385	15197
525	106569	14992
526	106761	14788
527	106947	14583
528	107137	14379
529	107275	14168
530	107458	13963
531	107632	13757
532	107811	13552
533	108005	13348
534	108223	13148
535	108434	12947
536	108652	12746
537	108867	12546
538	109058	12342
539	109267	12140
540	109463	11937
541	109671	11736
542	109874	11533
543	110082	11332
544	110283	11129
545	110466	10925
546	110670	10723
547	110860	10519
548	111041	10315
549	111233	10112
550	111427	9909
551	111618	9705
552	111802	9502
553	111962	9296
554	112168	9094
555	112376	8893
556	112608	8693
557	112802	8490
558	113013	8289
559	113198	8085
560	113386	7882
561	113577	7679
562	113780	7477
563	114012	7277
564	114210	7074
565	114413	6872
566	114629	6671
567	114841	6469
568	115042	6267
569	115239	6065
570	115434	5862
571	115657	5661
572	115863	5459
573	116060	5257
574	116263	5054
575	116476	4853
576	116671	4650
577	116855	4447
578	117032	4244
579	117270	4043
580	117460	3841
581	117629	3638
582	117816	3435
583	118016	3233
584	118204	3030
585	118404	2828
586	118573	2625
587	118760	2423
588	118948	2221
589	119127	2019
590	119333	1817
591	119531	1615
592	119777	1413
593	119964	1211
594	120142	1009
595	120326	807
596	120539	605
597	120766	403
598	120981	201
599	121166	0
