iter	RMSE
172	675613.8184
173	675142.2621
174	674732.3581
175	674477.2702
176	674172.3037
177	674017.1165
178	673799.0614
179	673376.1122
180	672935.0162
181	672479.0807
182	672149.5242
183	671406.2681
184	670895.5304
185	670623.1801
186	670426.1875
187	670036.0688
188	669741.8754
189	669337.2599
190	668941.3929
191	668698.1332
192	668544.6435
193	668273.5436
194	667852.5574
195	667566.4712
196	667202.2278
197	666904.0566
198	666662.3454
199	666074.2977
200	665774.0953
201	665349.4008
202	665055.1267
203	664852.3382
204	664631.8558
205	664292.6303
206	664063.1642
207	663601.7775
208	663217.8187
209	662805.3209
210	662367.1699
211	662188.0059
212	661984.1653
213	661748.364
214	661349.6219
215	661158.8491
216	660935.8212
217	660668.6755
218	660364.0401
219	659888.3487
220	659477.3298
221	659024.3924
222	658799.8932
223	658423.2114
224	658227.0947
225	657921.3671
226	657712.7912
227	657543.389
228	657290.6333
229	657006.411
230	656700.3387
231	656543.7983
232	656167.1915
233	655972.0428
234	655656.044
235	655503.7658
236	655413.7572
237	655277.014
238	654896.9086
239	654564.1167
240	654383.7556
241	654183.6937
242	653975.2553
243	653782.5806
244	653483.3315
245	653325.2031
246	653229.3086
247	652756.0897
248	652487.123
249	652194.9614
250	652015.5547
251	651897.2489
252	651509.9319
253	651224.4569
254	650971.027
255	650683.5949
256	650290.7761
257	650083.7621
258	649544.6406
259	649175.4987
260	648812.4864
261	648528.8382
262	648321.6978
263	647837.1046
264	647623.1514
265	647419.9771
266	647090.665
267	646610.5486
268	646160.5683
269	645860.2195
270	645548.2866
271	645351.3808
272	645217.7297
273	644899.4239
274	644650.2124
275	644330.9007
276	644062.1315
277	643800.136
278	643459.0598
279	643163.853
280	642713.007
281	642489.1446
282	642255.8728
283	642104.8943
284	641805.255
285	641507.1422
286	641117.6613
287	640977.2627
288	640636.6865
289	640372.3636
290	640079.8035
291	639764.8277
292	639645.6453
293	639315.088
294	639196.3485
295	638914.8039
296	638727.7808
297	638539.3549
298	638144.4756
299	637925.6565
300	637574.4862
301	637284.8763
302	636963.36
303	636613.502
304	636445.5626
305	636147.4244
306	635841.8767
307	635567.538
308	635116.2969
309	634867.0502
310	634656.8047
311	634269.1412
312	634141.4179
313	633774.5727
314	633638.8783
315	633493.5458
316	633378.8238
317	633209.2645
318	632928.253
319	632747.471
320	632569.223
321	632438.8322
322	632278.6911
323	632041.4499
324	631808.3208
325	631445.5889
326	631126.9784
327	630817.6811
328	630644.3887
329	630333.5649
330	630123.3279
331	629889.1112
332	629664.3595
333	629459.3766
334	629308.0198
335	629216.6341
336	629094.9074
337	628755.214
338	628580.5839
339	628249.836
340	627927.1141
341	627622.0467
342	627333.1047
343	627117.1676
344	626913.433
345	626669.2248
346	626544.5021
347	626347.9943
348	626193.232
349	626013.476
350	625901.6561
351	625606.6264
352	625353.1318
353	625042.5359
354	624891.7827
355	624772.2622
356	624613.3906
357	624086.1754
358	623965.3513
359	623848.3146
360	623340.2823
361	623243.8203
362	623138.6224
363	623024.6735
364	622899.5661
365	622510.1199
366	622358.5162
367	622251.8388
368	621976.2201
369	621871.3679
370	621755.6557
371	621583.7174
372	621314.7723
373	621223.5146
374	620964.787
375	620654.0732
376	620424.3122
377	620147.3506
378	619886.4712
379	619749.0601
380	619310.0597
381	619048.2166
382	618966.4685
383	618790.4302
384	618422.8509
385	618239.1664
386	617990.8978
387	617846.7759
388	617783.3237
389	617554.7728
390	617453.2362
391	617318.9984
392	617259.6622
393	617171.9977
394	617055.5113
395	616942.3047
396	616832.0697
397	616587.2519
398	616350.3536
399	616178.8435
400	615963.0043
401	615872.4389
402	615786.0859
403	615607.696
404	615399.1884
405	615290.6316
406	615207.3955
407	614973.2285
408	614806.6679
409	614724.8248
410	614419.09
411	614239.043
412	614123.3756
413	613958.8528
414	613758.8527
415	613596.8155
416	613383.4007
417	613334.0891
418	613252.1862
419	613161.6381
420	613006.3768
421	612872.169
422	612688.017
423	612641.9632
424	612539.2223
425	612293.6532
426	612193.302
427	612034.6713
428	611974.5082
429	611764.0057
430	611628.511
431	611407.4221
432	611346.6536
433	611265.7569
434	611161.0237
435	610914.108
436	610757.0437
437	610544.2692
438	610461.9712
439	610407.2831
440	610248.9156
441	610086.6745
442	609940.5398
443	609769.9046
444	609680.9911
445	609546.1865
446	609415.2172
447	609315.0233
448	609142.1424
449	608956.6868
450	608866.4779
451	608698.5935
452	608560.4954
453	608423.7975
454	608209.7608
455	608123.4475
456	607988.3533
457	607859.1226
458	607731.0875
459	607505.5623
460	607348.2506
461	607218.8592
462	607063.5758
463	606986.2645
464	606885.7383
465	606775.4197
466	606658.1551
467	606519.4009
468	606417.0814
469	606235.2686
470	606020.9055
471	605878.9266
472	605826.4347
473	605724.0003
474	605620.0461
475	605515.0428
476	605448.4866
477	605275.2224
478	605087.7258
479	604965.5953
480	604845.3407
481	604693.8519
482	604550.6346
483	604421.1776
484	604125.4787
485	604018.4618
486	603925.5987
487	603866.1465
488	603708.5503
489	603652.7462
490	603484.4834
491	603371.969
492	603253.221
493	603101.4415
494	603048.9419
495	602829.0042
496	602654.3635
497	602439.5538
498	602267.853
499	602187.2275
500	602012.8379
501	601974.0377
502	601879.3927
503	601746.5859
504	601656.2603
505	601547.2041
506	601510.6357
507	601445.628
508	601347.9391
509	601178.042
510	601117.1889
511	601019.4244
512	600866.6229
513	600733.3263
514	600511.2049
515	600396.2495
516	600308.734
517	600242.859
518	600124.1431
519	600056.656
520	599939.6999
521	599786.9263
522	599708.5901
523	599580.0365
524	599471.6489
525	599245.5811
526	599199.7179
527	599044.245
528	598905.3355
529	598801.535
530	598658.3757
531	598627.4192
532	598513.8851
533	598419.701
534	598337.8652
535	598254.65
536	598168.5876
537	598110.7329
538	598038.1526
539	597816.5009
540	597641.7161
541	597526.7021
542	597406.5968
543	597343.7548
544	597237.0582
545	597117.7888
546	597056.1205
547	596927.052
548	596777.1444
549	596684.698
550	596584.6731
551	596502.1052
552	596389.7794
553	596159.6088
554	596063.8668
555	595932.6739
556	595868.1489
557	595839.8165
558	595782.7094
559	595745.389
560	595694.551
561	595649.3092
562	595502.9237
